sigma12,sigma21,scenario
0.998294937407249,1.030110874103909,Neutral
1.0901176399398484,0.92204879153263,Neutral
1.0187556535500102,0.993412913193018,Neutral
1.058372327724901,0.9412846265396446,Neutral
1.0735457203921712,0.9404317266427679,Neutral
1.098649553009805,0.9467724215034292,Neutral
1.0830793414749398,0.9311012891644734,Neutral
1.059560713401705,0.9556194275647608,Neutral
1.0716507879940953,0.8982978731216674,Neutral
1.084527794004862,0.9254743173502501,Neutral
1.0647724377093273,0.9395940836742019,Neutral
1.094891839684617,0.932710181676121,Neutral
1.062899827117593,0.9447133277620597,Neutral
1.1308203977850102,0.8811506305927095,Neutral
1.1332295835176975,0.8986524592939797,Neutral
1.1114406298302708,0.8968651240237657,Neutral
1.117394031597019,0.8916726065204322,Neutral
1.0397695480258646,0.9955008552847128,Neutral
0.9893467678452506,1.036171896253664,Neutral
1.0134451917086027,1.0530454523170125,Neutral
1.0491597698549375,0.9905248699421931,Neutral
1.0986162465018294,0.8665492025288397,Neutral
1.098637056056189,0.8676326614604504,Neutral
1.094359117159107,0.9890657215041687,Neutral
1.0838672627337773,0.9862082363535536,Neutral
0.9493551108833687,1.0100666344162077,Neutral
1.0294069614552894,1.04568748545438,Neutral
1.051234417656756,1.0314825393208578,Neutral
0.9920232468902989,0.9862015713079331,Neutral
0.9920647760084219,0.9619102156637734,Neutral
1.0936344967920444,0.9510392716217339,Neutral
1.1181341113844991,0.9452406979193826,Neutral
1.1263947767231333,0.9374216405788827,Neutral
1.0257412111826922,0.9244979707370968,Neutral
1.0548485782667971,0.9642834863382223,Neutral
1.068937801650867,0.9732678531172326,Neutral
1.068937801650867,0.9732678531172326,Neutral
1.081332307275368,0.9825558334576472,Neutral
1.1118063235774511,0.9324926999790752,Neutral
1.0999887468209268,0.9356747894494961,Neutral
1.1815005417775661,0.8486196305867191,Neutral
1.1666077193723947,0.8409343924951531,Neutral
1.1605665859869267,0.8889290501514715,Neutral
1.1336402445062026,0.8799348646289997,Neutral
1.1243270477585274,0.8765275687607011,Neutral
1.033377598564673,0.9352145765521747,Neutral
1.0725095589733786,0.9585696235157637,Neutral
1.030811431700004,0.9407697009944015,Neutral
1.0099898664285203,0.9780548919664852,Neutral
0.9922906743011974,0.9770471649113776,Neutral
1.0307754080609977,0.9873590507453395,Neutral
1.0031858221636512,0.9807471819123325,Neutral
1.007546108523335,1.0035339265450933,Neutral
0.9941935843441614,1.00968665531942,Neutral
1.0365138495073682,0.9777757105864684,Neutral
1.086188090300163,0.9541324015471068,Neutral
1.0491974092605523,0.9423160138138666,Neutral
1.0862684127717148,0.9392020950108809,Neutral
1.074443086730162,0.9820711724174827,Neutral
1.0096241563482549,0.9959387679048406,Neutral
1.0092696365168665,0.9897430165419243,Neutral
0.9704240501734032,0.9975491167540479,Neutral
0.9605398333062434,0.9798655429880533,Neutral
1.143679642878109,0.927815618495942,Neutral
1.0944664598361944,0.8872588594203139,Neutral
1.031340297619061,1.0362222720066185,Neutral
1.0276074744204473,1.0293112711609238,Neutral
1.0285569999742525,0.9995812374332441,Neutral
1.0957182172934294,0.8810416689635548,Neutral
1.1360331296101687,0.8670118525206406,Neutral
1.073798534325143,0.8953919374923298,Neutral
1.1129247538449267,0.9024142376100088,Neutral
1.147137718360639,0.897959304422735,Neutral
1.1522991359936465,0.8617309018287351,Neutral
1.0781074055606086,0.9678539395559157,Neutral
1.0316295298200289,0.9149323334365634,Neutral
1.0435990318517643,0.9221530201041799,Neutral
1.0338427315815655,0.9333870289841398,Neutral
1.1359404528934192,0.9195590139144538,Neutral
1.1610070690624354,0.9102672005819086,Neutral
1.0692382015466846,0.9494828453326544,Neutral
1.085051110951643,0.9426007171528706,Neutral
1.124665817011111,0.9353997671372306,Neutral
1.0528719331040157,0.9855850105996679,Neutral
1.0386513527044396,0.985668576087274,Neutral
1.051922525382293,0.9571310074351103,Neutral
1.0049818598704938,0.9962801072129183,Neutral
1.0093145400561372,0.99147004223734,Neutral
1.0360549192669195,0.9615886811699305,Neutral
1.0507865352784262,0.946485054896041,Neutral
1.0291806622616617,0.9851367394785049,Neutral
1.0012988980096278,1.025075867074067,Neutral
1.0775573631270938,0.9687158136241334,Neutral
1.0680336680369684,0.9461113414668645,Neutral
0.9927941701344016,1.034242033165556,Neutral
0.9998071380270305,1.02871963498519,Neutral
1.035162407117816,0.9952931375480277,Neutral
1.043342955531991,1.0073407453275618,Neutral
1.0025071496679052,1.0368598006203633,Neutral
0.9815964766288975,0.9791899056999908,Neutral
1.0244112694375935,1.009407536107079,Neutral
1.1119504416199235,0.9081883686381771,Neutral
1.1356128973143997,0.8883439980045478,Neutral
1.10076707891299,0.8771515705732575,Neutral
1.064442392980156,0.9306550354605608,Neutral
1.054640543838685,0.9209302168254984,Neutral
1.045213834678345,0.9285856507092303,Neutral
1.0338062129651602,1.0003352144739028,Neutral
